Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/web/index.php/auth/login-7,19,7486,6319,10673,10796,11039,5555,11039,0.000%,.11122,0.25,0.08
Launch,19,7486,6319,10673,10796,11039,5555,11039,0.000%,.10994,0.25,0.08
/web/index.php/auth/validate-35,19,1356,1364,1795,1828,1987,895,1987,0.000%,.11509,0.47,0.24
/web/index.php/dashboard/index-35,19,885,974,1299,1318,1427,448,1427,0.000%,.11544,0.36,0.14
Login,19,2241,2246,2555,2839,3055,1752,3055,0.000%,.11115,0.80,0.36
/web/index.php/leave/viewLeaveModule-180,19,1169,1156,1449,1540,1601,819,1601,0.000%,.11502,0.50,0.19
/web/index.php/leave/viewLeaveList-181,19,814,674,1220,1242,1263,473,1263,0.000%,.11554,0.40,0.14
Leave,19,1984,2058,2429,2455,2474,1408,2474,0.000%,.11218,0.87,0.32
/web/index.php/leave/viewLeaveEntitlements-1,19,879,801,1314,1440,1490,485,1490,0.000%,.11514,0.38,0.14
/web/index.php/leave/editLeaveEntitlement/136-8,19,838,726,1368,1376,1456,473,1456,0.000%,.11322,0.39,0.14
/web/index.php/api/v2/leave/leave-entitlements/136-21,19,577,513,738,811,1191,409,1191,42.105%,.11348,0.10,0.10
Edit_Entitlement,19,2295,2002,3002,3136,3246,1513,3246,42.105%,.10947,0.84,0.36
Debug Sampler,19,0,0,0,1,1,0,1,0.000%,.11383,0.08,0.00
TOTAL,247,2155,1271,6177,6696,10796,0,11039,6.478%,1.26083,4.91,1.95
