Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/web/index.php/auth/login-7,19,7930,8870,10228,10353,10904,4787,10904,0.000%,.10240,0.23,0.07
Launch,19,7930,8870,10228,10353,10904,4787,10904,0.000%,.10143,0.23,0.07
/web/index.php/auth/validate-35,19,3074,1482,6549,6728,7273,1113,7273,0.000%,.10656,0.46,0.22
/web/index.php/dashboard/index-35,19,1668,1418,3185,3777,4214,446,4214,0.000%,.10773,0.31,0.10
Login,19,4742,2674,10458,10505,10763,1559,10763,0.000%,.10449,0.74,0.31
/web/index.php/leave/viewLeaveModule-180,19,2986,2288,6106,6823,7069,889,7069,0.000%,.10753,0.51,0.18
/web/index.php/leave/viewLeaveList-181,19,1889,1307,4196,4528,4624,455,4624,0.000%,.10711,0.36,0.10
Leave,19,4875,3505,8756,9191,11351,1349,11351,0.000%,.10342,0.83,0.27
/web/index.php/leave/assignLeave-192,19,1878,1205,4200,4202,5473,435,5473,0.000%,.10700,0.32,0.10
/web/index.php/api/v2/leave/employees/leave-requests-208,19,1775,1854,3117,4099,4110,461,4110,10.526%,.10678,0.10,0.10
Assign_Leave,19,3653,3386,6359,8147,8538,897,8538,10.526%,.10286,0.41,0.19
Debug Sampler,19,0,0,1,1,1,0,1,0.000%,.10711,0.09,0.00
TOTAL,228,3533,2260,8870,10080,10904,0,11351,1.754%,1.08594,3.95,1.48
