Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/web/index.php/auth/login-7,19,7486,5555,11039,1999.83,0.000%,.11122,0.25,0.08,2288.4
Launch,19,7486,5555,11039,1999.83,0.000%,.10994,0.25,0.08,2288.4
/web/index.php/auth/validate-35,19,1356,895,1987,314.51,0.000%,.11509,0.47,0.24,4182.8
/web/index.php/dashboard/index-35,19,885,448,1427,329.74,0.000%,.11544,0.36,0.14,3205.8
Login,19,2241,1752,3055,330.80,0.000%,.11115,0.80,0.36,7388.6
/web/index.php/leave/viewLeaveModule-180,19,1169,819,1601,222.56,0.000%,.11502,0.50,0.19,4438.7
/web/index.php/leave/viewLeaveList-181,19,814,473,1263,303.31,0.000%,.11554,0.40,0.14,3524.0
Leave,19,1984,1408,2474,355.66,0.000%,.11218,0.87,0.32,7962.7
/web/index.php/leave/viewLeaveEntitlements-1,19,879,485,1490,316.94,0.000%,.11514,0.38,0.14,3396.7
/web/index.php/leave/editLeaveEntitlement/136-8,19,838,473,1456,323.56,0.000%,.11322,0.39,0.14,3566.5
/web/index.php/api/v2/leave/leave-entitlements/136-21,19,577,409,1191,182.07,42.105%,.11348,0.10,0.10,928.6
Edit_Entitlement,19,2295,1513,3246,567.80,42.105%,.10947,0.84,0.36,7891.8
Debug Sampler,19,0,0,1,0.31,0.000%,.11383,0.08,0.00,763.7
TOTAL,247,2155,0,11039,2504.59,6.478%,1.26083,4.91,1.95,3986.7
