Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/web/index.php/auth/login-7,19,7930,4787,10904,2039.41,0.000%,.10240,0.23,0.07,2282.6
Launch,19,7930,4787,10904,2039.41,0.000%,.10143,0.23,0.07,2282.6
/web/index.php/auth/validate-35,19,3074,1113,7273,2214.24,0.000%,.10656,0.46,0.22,4390.7
/web/index.php/dashboard/index-35,19,1668,446,4214,1184.87,0.000%,.10773,0.31,0.10,2908.3
Login,19,4742,1559,10763,3305.33,0.000%,.10449,0.74,0.31,7299.0
/web/index.php/leave/viewLeaveModule-180,19,2986,889,7069,2215.68,0.000%,.10753,0.51,0.18,4811.8
/web/index.php/leave/viewLeaveList-181,19,1889,455,4624,1431.73,0.000%,.10711,0.36,0.10,3399.7
Leave,19,4875,1349,11351,3385.25,0.000%,.10342,0.83,0.27,8211.5
/web/index.php/leave/assignLeave-192,19,1878,435,5473,1568.22,0.000%,.10700,0.32,0.10,3109.8
/web/index.php/api/v2/leave/employees/leave-requests-208,19,1775,461,4110,1176.22,10.526%,.10678,0.10,0.10,1000.8
Assign_Leave,19,3653,897,8538,2512.65,10.526%,.10286,0.41,0.19,4110.6
Debug Sampler,19,0,0,1,0.41,0.000%,.10711,0.09,0.00,833.4
TOTAL,228,3533,0,11351,3176.38,1.754%,1.08594,3.95,1.48,3720.1
