Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch,60,4403,3673,8137,10738,12699,1200,12977,0.000%,.20111,0.59,0.19
Login,60,13442,12803,19137,20956,23341,5409,24546,0.000%,.18744,1.42,0.60
Add_Employee_Admin,10,28070,27294,32733,32733,33021,22451,33021,0.000%,.16906,4.07,0.98
Debug Sampler,40,0,0,0,1,1,0,1,0.000%,.13400,0.08,0.00
Create_Admin,10,22279,21947,24072,24072,25816,18762,25816,0.000%,.20208,3.21,1.02
/web/index.php/auth/login-7,20,3179,2999,4383,4578,6468,1592,6468,0.000%,.20122,0.46,0.14
/web/index.php/auth/validate-35,20,9422,8348,14657,14679,14947,4346,14947,0.000%,.17939,0.78,0.37
/web/index.php/dashboard/index-35,20,3933,3245,6369,7471,8684,1234,8684,0.000%,.17880,0.49,0.15
Add_Employee,10,20737,20572,25559,25559,26730,16620,26730,0.000%,.18620,3.21,0.94
Add_Entitlement,10,28984,29678,31411,31411,33313,22869,33313,0.000%,.15287,1.95,0.65
TOTAL,260,9239,6324,22616,27294,32222,0,33313,0.000%,.71260,4.23,1.43
