Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Launch,60,4403,1200,12977,2686.60,0.000%,.20111,0.59,0.19,3026.5
Login,60,13442,5409,24546,4767.89,0.000%,.18744,1.42,0.60,7766.5
Add_Employee_Admin,10,28070,22451,33021,3797.41,0.000%,.16906,4.07,0.98,24647.3
Debug Sampler,40,0,0,1,0.30,0.000%,.13400,0.08,0.00,641.2
Create_Admin,10,22279,18762,25816,1816.31,0.000%,.20208,3.21,1.02,16266.2
/web/index.php/auth/login-7,20,3179,1592,6468,1110.81,0.000%,.20122,0.46,0.14,2345.2
/web/index.php/auth/validate-35,20,9422,4346,14947,3011.97,0.000%,.17939,0.78,0.37,4471.1
/web/index.php/dashboard/index-35,20,3933,1234,8684,2296.85,0.000%,.17880,0.49,0.15,2816.2
Add_Employee,10,20737,16620,26730,3118.92,0.000%,.18620,3.21,0.94,17642.1
Add_Entitlement,10,28984,22869,33313,3187.04,0.000%,.15287,1.95,0.65,13067.9
TOTAL,260,9239,0,33313,8798.62,0.000%,.71260,4.23,1.43,6085.1
