Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/web/index.php/auth/login-7,25,5155,4880,7587,8358,9038,1986,9038,0.000%,.09596,0.22,0.07
Launch,25,5155,4880,7587,8358,9038,1986,9038,0.000%,.09520,0.22,0.07
/web/index.php/auth/validate-35,25,14170,14996,19652,20582,28418,2021,28418,8.000%,.09687,0.42,0.18
/web/index.php/dashboard/index-35,23,5849,5905,8259,8535,11133,3080,11133,4.348%,.09988,0.28,0.08
Login,23,21023,20541,26380,28187,34589,12885,34589,4.348%,.08868,0.63,0.26
/web/index.php/leave/viewLeaveModule-180,22,9859,10095,12608,12862,13941,2004,13941,4.545%,.10099,0.48,0.16
/web/index.php/leave/viewLeaveList-181,21,6628,7120,8272,9293,9459,3705,9459,0.000%,.15081,0.49,0.13
Leave,21,16861,16848,20430,22155,22213,13913,22213,0.000%,.13608,1.10,0.34
/web/index.php/leave/assignLeave-192,21,5180,5402,6730,7451,7773,2175,7773,0.000%,.14945,0.44,0.12
/web/index.php/api/v2/leave/employees/leave-requests-208,21,5617,5625,7797,8298,8756,2141,8756,0.000%,.14916,0.16,0.15
Assign_Leave,21,10797,10996,13636,14517,15005,6630,15005,0.000%,.13923,0.56,0.25
Debug Sampler,21,0,0,1,1,4,0,4,0.000%,.15492,0.13,0.00
TOTAL,269,8898,7188,17914,21764,26380,0,34589,1.859%,1.01146,3.68,1.31
