Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/web/index.php/auth/login-7,25,4407,1966,8116,1638.84,0.000%,.09955,0.23,0.07,2346.5
Launch,25,4407,1966,8116,1638.84,0.000%,.09852,0.23,0.07,2346.5
/web/index.php/auth/validate-35,25,10887,6113,17237,2960.46,0.000%,.09860,0.43,0.20,4467.6
/web/index.php/dashboard/index-35,25,4606,1569,8499,1758.13,0.000%,.10032,0.28,0.08,2815.6
Login,25,15493,8752,22803,3899.70,0.000%,.09578,0.68,0.28,7283.2
/web/index.php/leave/viewLeaveModule-180,25,7831,4223,12317,2015.92,0.000%,.09831,0.47,0.16,4942.7
/web/index.php/leave/viewLeaveList-181,25,4345,2699,8567,1420.25,0.000%,.09976,0.33,0.08,3363.7
Leave,25,12177,6922,19214,2800.32,0.000%,.09631,0.78,0.24,8306.4
/web/index.php/leave/viewLeaveEntitlements-1,25,4383,1969,7342,1333.63,4.000%,.10112,0.31,0.08,3163.4
/web/index.php/leave/editLeaveEntitlement/136-8,24,4284,1938,8180,1883.64,0.000%,.11101,0.37,0.09,3431.2
/web/index.php/api/v2/leave/leave-entitlements/136-21,24,3409,1251,5573,1214.55,0.000%,.11005,0.15,0.10,1353.6
Edit_Entitlement,24,12160,7949,16623,2813.31,0.000%,.10313,0.80,0.26,7928.3
Debug Sampler,24,0,0,1,0.28,0.000%,.11122,0.08,0.00,757.5
TOTAL,321,6822,0,22803,4833.89,0.312%,1.11266,4.40,1.48,4047.3
